,routing_processing_time_s,local_processing_time_s
892,0.2119,0.5999
893,1.4277,0.4348
894,0.3182,0.1779
895,0.3687,0.59
896,0.3932,0.6998
897,1.144,1.0975
898,0.4945,0.5155
899,0.2618,0.6526
900,0.1042,0.2341
901,1.5178,0.2968
902,0.4191,0.552
903,0.2551,0.1232
904,0.2267,0.3026
905,0.9249,0.8516
906,0.3611,0.8559
907,0.5998,0.3764
908,0.1282,0.7511
909,0.9887,0.2877
910,0.2411,0.8507
911,0.424,0.2698
912,0.5299,0.672
913,1.2959,0.234
914,0.3812,0.612
915,0.2966,0.2731
916,0.4444,0.2895
917,1.0199,0.2856
918,0.2503,0.677
919,0.3226,0.0868
920,0.0849,0.2791
921,0.9869,0.5996
922,0.6484,0.1504
923,0.3148,0.1179
924,0.2112,0.8221
925,0.8225,0.3439
926,0.5762,0.5918
927,0.2939,0.7503
928,0.124,0.3035
929,0.8371,0.7912
930,0.4731,0.6072
931,0.7763,0.6762
932,0.2192,0.631
933,0.5846,1.0143
934,0.3316,0.339
935,0.4869,0.3194
936,0.0819,0.709
937,0.6063,0.6648
938,0.2701,0.3869
939,0.38,0.6142
940,0.1204,0.7418
941,0.7692,0.3252
942,0.4275,0.279
943,0.2681,0.9022
944,0.0905,0.789
945,1.2064,0.2854
946,0.5134,0.3081
947,0.5634,0.7077
948,0.1676,0.6042
949,0.6076,1.0649
950,0.2976,0.0807
951,0.3236,0.8646
952,0.1192,0.7885
953,0.8852,0.278
954,0.462,0.3186
955,0.74,0.6121
956,0.1514,0.7561
957,1.1299,0.3943
958,0.3075,0.6899
959,0.2754,0.7379
960,0.2036,0.2953
961,0.8515,0.3407
962,0.2681,0.4384
963,0.3428,0.6992
964,0.1846,0.2517
965,0.832,0.9581
966,0.5034,0.7605
967,0.2845,0.2501
968,0.1181,0.2383
969,0.7719,1.0082
970,0.3304,0.7583
971,0.2971,0.5417
972,0.2368,0.7792
973,0.7785,0.6835
974,0.5341,0.7756
975,0.4051,0.2542
976,0.4706,0.6136
977,1.21,0.2688
978,0.5671,0.6248
979,0.8041,1.0051
980,0.5317,0.9184
981,1.0688,0.6943
982,0.3887,0.7393
983,0.2961,0.2625
984,0.1674,0.9658
985,0.7408,0.6709
986,0.6243,0.877
987,0.2931,0.8513
988,0.1209,0.858
989,1.0829,0.2763
990,0.2672,0.8432
991,0.6317,0.758
992,0.1635,0.6886
993,0.7349,1.3249
994,0.3567,0.531
995,0.5376,0.5131
996,0.088,0.4893
997,0.6989,0.8204
998,0.5746,0.3454
999,0.5776,0.408
1000,0.1242,0.2952
1001,1.6606,0.2944
1002,0.2649,0.9332
1003,0.3122,0.9261
1004,0.2276,0.3048
1005,1.0069,0.6472
1006,0.9583,0.3188
1007,0.272,0.8574
1008,0.1298,0.307
1009,1.0708,0.3621
1010,0.2978,0.6941
1011,0.2968,0.2956
1012,0.8009,0.3755
1013,0.9868,0.3159
1014,0.4728,0.372
1015,0.5654,0.314
1016,0.4537,0.7577
1017,0.78,0.8403
1018,0.2972,0.6136
1019,0.3912,0.6914
1020,0.3009,0.6707
1021,1.5388,0.6758
1022,0.6802,0.6896
1023,0.6307,0.6968
1024,0.1702,0.7516
1025,1.6213,0.2516
1026,0.3009,0.7847
1027,0.4404,0.7163
1028,0.1557,0.5658
1029,0.7348,0.4235
1030,0.3066,0.6987
1031,0.4507,0.7115
1032,0.2322,0.1038
1033,0.7363,0.485
1034,0.3457,1.1865
1035,0.2859,0.8334
1036,0.3136,0.1319
1037,0.7343,1.1552
1038,0.2997,0.3028
1039,0.8375,0.4632
1040,0.1056,1.0134
1041,0.7219,0.177
1042,0.5985,1.04
1043,0.5614,0.3098
1044,0.7884,0.4464
1045,1.2403,0.2996
1046,0.2955,0.9154
1047,0.3328,0.3402
1048,0.2631,0.7088
1049,1.5733,0.3565
1050,0.9242,0.6979
1051,0.503,0.3127
1052,0.1823,0.5923
1053,0.9289,0.1725
1054,0.6539,1.0025
1055,0.3139,0.6061
1056,0.2669,0.2835
1057,1.0586,1.0115
1058,0.462,0.5595
1059,0.4196,0.3001
1060,0.135,0.7025
1061,1.4336,0.5956
1062,0.369,0.3292
1063,0.4737,1.0373
1064,0.1481,0.3304
1065,1.1571,0.2955
1066,0.544,0.2537
1067,0.3215,0.2928
1068,0.3587,0.7874
1069,1.3061,0.8135
1070,0.7395,0.2932
1071,0.2888,1.2402
1072,0.1119,0.3613
1073,1.0692,0.8012
1074,0.8068,0.7597
1075,0.9044,0.1256
1076,0.2041,1.0129
1077,1.0375,0.3549
1078,0.2812,0.3133
1079,0.5807,1.0248
1080,0.3597,1.2842
1081,0.7464,0.7775
1082,0.3405,1.1633
1083,0.599,1.2911
1084,0.1396,0.3161
1085,0.8899,0.4928
1086,0.4545,1.1928
1087,0.5698,0.8025
1088,0.3695,0.2857
1089,1.6003,0.5678
1090,0.476,0.7631
1091,0.3301,0.5269
1092,0.3017,0.2734
1093,1.0213,0.4442
1094,0.3236,1.2
1095,0.7025,0.2908
1096,0.8753,0.7516
1097,1.6422,1.1072
1098,0.836,0.4263
1099,0.8108,1.0248
1100,0.1913,0.9195
1101,0.9318,0.4986
1102,0.3004,1.554
1103,0.3449,0.4886
1104,0.1259,1.0864
1105,1.7445,0.8574
1106,0.7236,0.3159
1107,0.3469,1.0432
1108,0.1198,0.3671
1109,1.3572,0.8126
1110,0.7699,0.7767
1111,0.746,0.1511
1112,0.119,0.5205
1113,1.062,1.1502
1114,0.7472,0.7895
